date,n1,n2,n3,n4,n5,j,weekd,avg,idx
2019-05-16,42,23,41,38,13,14,Thursday,31.4,356
2019-05-19,3,28,44,19,14,13,Sunday,21.6,357
2019-05-23,45,4,31,18,21,1,Thursday,23.8,358
2019-05-26,1,8,18,12,24,18,Sunday,12.6,359
2019-05-30,41,10,32,31,6,12,Thursday,24.0,360
2019-06-02,33,20,3,21,34,18,Sunday,22.2,361
2019-06-06,30,18,43,3,16,7,Thursday,22.0,362
2019-06-09,34,11,21,40,43,2,Sunday,29.8,363
2019-06-13,16,5,38,35,37,13,Thursday,26.2,364
2019-06-16,10,27,4,37,36,12,Sunday,22.8,365
2019-06-20,37,40,44,42,28,3,Thursday,38.2,366
2019-06-23,11,21,12,2,3,19,Sunday,9.8,367
2019-06-27,37,32,16,23,2,7,Thursday,22.0,368
2019-06-30,4,7,13,40,44,19,Sunday,21.6,369
2019-07-04,10,13,33,18,45,3,Thursday,23.8,370
2019-07-07,22,5,38,4,24,4,Sunday,18.6,371
2019-07-11,39,43,16,34,28,10,Thursday,32.0,372
2019-07-14,45,16,10,35,31,18,Sunday,27.4,373
2019-07-18,1,31,12,44,5,9,Thursday,18.6,374
2019-07-21,36,9,29,26,40,11,Sunday,28.0,375
2019-07-25,41,45,24,16,6,12,Thursday,26.4,376
2019-07-28,28,45,24,40,33,5,Sunday,34.0,377
2019-08-01,35,44,19,25,43,3,Thursday,33.2,378
2019-08-04,6,20,7,9,8,4,Sunday,10.0,379
2019-08-08,43,11,15,42,36,1,Thursday,29.4,380
2019-08-11,24,23,4,18,32,9,Sunday,20.2,381
2019-08-15,30,38,40,32,27,3,Thursday,33.4,382
2019-08-18,13,6,4,1,28,3,Sunday,10.4,383
2019-08-22,31,34,8,17,24,3,Thursday,22.8,384
2019-08-25,17,14,37,41,26,7,Sunday,27.0,385
2019-08-29,42,18,27,10,32,14,Thursday,25.8,386
2019-09-01,25,22,19,4,10,9,Sunday,16.0,387
2019-09-05,37,35,8,39,14,20,Thursday,26.6,388
2019-09-08,27,3,32,2,11,14,Sunday,15.0,389
2019-09-12,44,1,35,17,43,20,Thursday,28.0,390
2019-09-15,16,43,23,24,20,16,Sunday,25.2,391
2019-09-15,17,5,6,37,44,10,Sunday,21.8,392
2019-09-19,10,6,35,21,43,7,Thursday,23.0,393
2019-09-22,23,29,10,17,26,14,Sunday,21.0,394
2019-09-26,31,10,15,7,5,16,Thursday,13.6,395
2019-09-29,31,32,19,22,35,13,Sunday,27.8,396
2019-10-03,37,24,8,40,20,12,Thursday,25.8,397
2019-10-06,45,28,4,5,18,3,Sunday,20.0,398
2019-10-10,45,31,33,30,7,9,Thursday,29.2,399
2019-10-13,22,8,5,36,23,13,Sunday,18.8,400
2019-10-17,1,40,13,19,25,10,Thursday,19.6,401
2019-10-20,10,14,26,24,22,8,Sunday,19.2,402
2019-10-24,31,14,21,5,23,13,Thursday,18.8,403
2019-10-27,35,17,4,42,31,9,Sunday,25.8,404
2019-10-31,25,35,5,45,34,9,Thursday,28.8,405
2019-11-03,25,12,43,13,34,12,Sunday,25.4,406
2019-11-07,41,6,34,19,32,13,Thursday,26.4,407
2019-11-10,31,41,16,43,13,12,Sunday,28.8,408
2019-11-14,5,11,35,4,18,13,Thursday,14.6,409
2019-11-17,38,12,25,28,41,4,Sunday,28.8,410
2019-11-21,3,26,17,4,27,1,Thursday,15.4,411
2019-11-24,27,31,21,44,26,6,Sunday,29.8,412
2019-11-28,8,14,38,36,29,7,Thursday,25.0,413
